	sequences per sample	iteration	A1	A2	B1	B2	C1	C2	D1	D2	E1	E2	F1	F2	G1	G2	H1	H2	s1r1	s1	s2r1	s2	s3r1	s3	s4r1	s4	s5r1	s5	s6r1	s6	s7r1	s7	s8r1	s8
alpha_rarefaction_10_0.txt	10	0	2.60547	1.70409	2.447	1.68665	2.14297	2.26825	1.91676	1.60955	1.32688	2.75028	2.49942	2.87463	2.24867	1.81926	1.90773	2.00965	2.26603	1.90508	1.90628	2.02254	1.77042	1.86859	2.2381	2.0382	1.96487	2.11255	1.92264	1.95108	1.79552	2.11127	2.46322	2.61724
alpha_rarefaction_10_1.txt	10	1	2.40201	2.3574	2.28022	2.64837	2.80731	1.64998	2.05274	1.883	1.74646	1.80802	2.31113	2.15728	1.92493	2.3649	1.93839	2.11252	2.64526	1.98465	1.94567	2.22214	2.16463	2.66298	2.15008	1.82914	1.81268	1.84406	2.10892	2.19119	1.97848	1.96673	1.62701	2.5963
alpha_rarefaction_10_2.txt	10	2	1.12651	1.93245	1.86907	1.94612	1.26646	1.8778	2.15004	1.89234	1.75075	2.09916	2.07235	2.234	2.18445	2.08158	2.7026	2.6899	2.2779	1.56294	2.16223	2.17473	1.51077	2.5486	1.89417	1.50433	2.28321	1.54978	1.91368	2.28531	1.74006	1.49712	1.90342	1.89284
alpha_rarefaction_10_3.txt	10	3	1.998	1.54486	1.58752	1.42317	1.94247	1.73013	2.01615	2.35893	1.6784	1.76536	2.161	2.49519	1.81807	2.00887	2.33217	1.59127	2.25326	1.96717	2.54794	2.38578	1.71574	2.25587	1.76742	2.23595	2.33336	1.7697	2.45019	2.1319	1.90356	1.58139	1.88948	2.53351
alpha_rarefaction_10_4.txt	10	4	1.73772	1.47831	1.92821	1.90302	2.56485	1.57652	2.62809	2.69	1.84581	2.14758	2.07501	2.23871	1.92978	1.78262	2.74419	2.41417	2.67828	1.78661	2.21883	1.81935	1.35809	2.13526	2.18719	1.70128	1.74271	1.68248	1.79313	2.06982	1.251	2.12045	2.14117	2.03545
alpha_rarefaction_10_5.txt	10	5	1.33229	2.35765	2.23498	1.64482	2.20935	2.68921	2.084	1.94859	1.88419	1.96645	2.22484	1.60418	1.4666	2.47604	2.27727	1.70108	2.41435	1.288	2.13611	2.14186	1.79132	2.69981	1.61969	1.67268	2.25892	2.19399	2.10739	2.53296	1.84333	1.54591	1.682	2.16858
alpha_rarefaction_10_6.txt	10	6	1.76897	1.52144	1.58197	2.02435	2.18788	2.14421	2.0681	2.15752	2.30055	1.96382	2.2613	1.92287	2.27474	2.18127	2.24984	1.70181	2.38878	2.25667	2.16341	2.41459	1.71884	2.66214	2.26039	1.99613	1.58051	1.83183	1.69244	2.05525	1.98523	1.81252	1.83032	1.84543
alpha_rarefaction_10_7.txt	10	7	1.62893	1.87447	2.34859	2.62916	2.18839	1.30216	1.94187	1.59004	1.82867	2.28241	2.58156	2.0392	2.32327	1.7128	1.59565	2.54804	2.27924	1.95665	1.98381	2.23196	2.35546	1.7215	2.59122	1.78661	1.24645	1.98994	1.73982	2.3934	2.16176	1.4549	1.39905	2.84412
alpha_rarefaction_10_8.txt	10	8	1.47409	2.05411	1.66368	1.67739	2.0244	2.58233	2.384	1.93927	1.69027	2.02281	2.26487	2.4579	1.84961	2.95043	2.372	1.81822	2.43995	1.855	1.95092	2.20613	2.2658	1.547	2.35786	1.7988	1.82185	2.43764	2.22118	2.77027	2.58004	1.43195	2.38934	2.3249
alpha_rarefaction_10_9.txt	10	9	1.34238	2.11196	2.43018	1.8472	1.71996	1.54268	1.86463	2.16568	1.60516	1.69788	2.20054	2.51099	1.58913	2.07701	2.89871	2.40722	1.93899	1.39104	1.83183	1.50688	2.45582	1.96101	2.03096	1.65867	1.9398	2.76016	1.83763	2.13777	2.41993	1.47967	1.99635	2.47994
alpha_rarefaction_2009_0.txt	2009	0	13.18285	15.75974	15.75261	14.85005	15.90069	15.05969	16.10595	14.46228	15.50227	15.14736	14.53567	13.50082	14.75089	15.81321	13.92065	15.36627	13.96326	12.32831	14.2288	15.21735	15.75387	15.44007	15.51533	13.9195	15.78303	13.99377	14.00249	13.42708	14.90331	15.45716	14.15235	14.94362
alpha_rarefaction_2009_1.txt	2009	1	13.56163	14.49314	16.48534	14.83856	16.15555	14.06727	15.54806	14.90396	15.72191	14.86293	14.46736	13.57444	14.70727	15.1411	14.34195	15.17383	14.21302	12.34353	14.12526	15.41114	15.18185	16.1269	16.10278	14.30145	15.88439	14.82884	14.6708	13.59748	14.83266	14.92035	15.19682	14.75729
alpha_rarefaction_2009_2.txt	2009	2	12.92872	15.663	15.74593	14.61277	15.98175	13.59421	14.7329	14.76227	15.71509	14.63532	13.7721	14.24962	14.94846	16.20254	14.35312	14.84202	14.17867	11.94837	14.97644	16.01035	15.05959	15.62877	15.97861	14.2031	14.7713	13.84483	14.15382	13.7627	14.44296	14.73751	14.44705	14.50816
alpha_rarefaction_2009_3.txt	2009	3	12.68438	14.44207	15.15805	15.07767	17.573	13.9971	16.0915	15.20586	15.63379	15.2268	14.63322	13.44417	14.67301	15.6827	14.15633	15.10971	13.74267	12.15994	15.22615	15.73774	16.35556	15.96682	16.52634	13.56671	15.04024	15.09004	14.62894	13.74549	14.19364	15.82037	14.23604	14.59951
alpha_rarefaction_2009_4.txt	2009	4	13.46168	15.65957	15.38215	13.28293	15.80602	14.75412	14.87072	14.02021	16.41619	14.52283	14.26592	13.19881	13.98509	15.28113	14.56304	14.77405	14.22867	11.79308	14.92446	16.61904	16.01581	15.21246	15.49376	14.17529	14.69727	14.96284	14.9706	14.29004	14.92012	14.96907	14.26271	15.06791
alpha_rarefaction_2009_5.txt	2009	5	13.86408	15.43165	16.62852	14.17778	17.10178	13.75907	15.1906	14.67549	16.09997	14.95549	13.81508	14.31687	15.14324	16.34001	14.37877	14.66479	14.37458	11.66252	15.26738	15.94166	14.83813	15.89474	15.2014	13.6109	15.47617	14.5103	14.3574	13.69715	14.62257	15.465	14.82665	14.59343
alpha_rarefaction_2009_6.txt	2009	6	12.39828	15.88963	15.57815	15.24307	16.83816	15.48001	15.45421	15.41394	16.00929	14.27423	14.63314	13.46493	15.17359	14.18803	15.28878	14.78029	13.6665	12.32618	14.65996	15.61787	15.25028	15.03591	15.27068	13.41353	15.56232	15.48075	13.96114	13.54579	14.13135	15.73483	14.47543	14.59294
alpha_rarefaction_2009_7.txt	2009	7	12.73193	15.06457	15.26611	14.63425	17.40224	14.14895	15.70047	14.01401	15.88902	14.55319	14.25855	13.15071	15.50264	15.57986	14.96802	15.39786	14.00865	12.24387	16.12926	15.47747	15.56721	15.03357	15.604	13.76705	14.77066	14.37048	14.65339	13.46337	14.73767	15.50218	15.14169	13.98693
alpha_rarefaction_2009_8.txt	2009	8	13.26557	15.18801	16.7395	14.86269	16.50147	15.53998	15.46811	14.99515	15.81204	15.08224	14.42406	12.94164	15.06751	16.27025	14.35782	15.23842	13.90425	12.40954	14.83318	16.05287	15.06654	15.90303	15.18841	14.32337	14.16056	14.06615	14.35349	13.06793	14.61115	15.23029	14.82086	14.49249
alpha_rarefaction_2009_9.txt	2009	9	12.95773	15.54366	16.34548	14.62915	16.1866	13.44208	15.59864	15.20587	16.00059	14.97851	14.71444	14.08344	15.39533	15.56297	14.89768	14.92621	13.63105	11.85408	14.83402	15.81035	14.8861	16.12295	15.76809	13.94159	14.99443	14.1337	15.44362	13.79487	14.94728	16.32367	14.67162	14.49528
alpha_rarefaction_4008_0.txt	4008	0	14.87636	17.34911	17.69795	17.46345	18.67341	16.25431	17.90155	17.19147	17.45119	17.49327	16.2345	16.54146	16.66459	17.60471	16.90749	17.57759	16.86669	13.66808	17.5841	18.20799	17.16141	17.27578	18.03534	16.12192	17.28864	16.79317	16.94684	16.86378	16.98296	17.57949	16.18618	15.59303
