	sequences per sample	iteration	A1	A2	B1	B2	C1	C2	D1	D2	E1	E2	F1	F2	G1	G2	H1	H2	s1r1	s1	s2r1	s2	s3r1	s3	s4r1	s4	s5r1	s5	s6r1	s6	s7r1	s7	s8r1	s8
alpha_rarefaction_10_0.txt	10	0	0.0	0.5	0.2	0.0	0.0	0.5	0.4	0.6	0.4	0.0	0.2	0.2	0.2	0.6	0.2	0.4	0.0	0.3	0.4	0.4	0.0	0.0	0.0	0.0	0.4	0.2	0.2	0.0	0.0	0.0	0.3	0.0
alpha_rarefaction_10_1.txt	10	1	0.2	0.2	0.0	0.0	0.0	0.3	0.2	0.5	0.4	0.4	0.4	0.2	0.2	0.0	0.4	0.2	0.2	0.2	0.2	0.2	0.0	0.2	0.2	0.3	0.5	0.0	0.4	0.2	0.3	0.2	0.2	0.2
alpha_rarefaction_10_2.txt	10	2	0.6	0.2	0.4	0.4	0.3	0.0	0.4	0.4	0.0	0.2	0.2	0.0	0.0	0.2	0.2	0.0	0.0	0.4	0.2	0.2	0.4	0.2	0.5	0.4	0.4	0.0	0.4	0.2	0.5	0.0	0.3	0.2
alpha_rarefaction_10_3.txt	10	3	0.4	0.3	0.2	0.4	0.4	0.4	0.4	0.3	0.2	0.4	0.2	0.0	0.2	0.4	0.2	0.6	0.6	0.2	0.0	0.0	0.0	0.0	0.2	0.4	0.2	0.2	0.3	0.4	0.3	0.2	0.5	0.0
alpha_rarefaction_10_4.txt	10	4	0.3	0.4	0.2	0.4	0.0	0.4	0.0	0.0	0.4	0.2	0.7	0.4	0.2	0.0	0.0	0.0	0.2	0.0	0.2	0.4	0.5	0.2	0.2	0.3	0.7	0.2	0.4	0.2	0.5	0.2	0.0	0.4
alpha_rarefaction_10_5.txt	10	5	0.4	0.0	0.2	0.3	0.0	0.0	0.4	0.2	0.4	0.2	0.2	0.5	0.4	0.2	0.5	0.3	0.2	0.5	0.4	0.2	0.4	0.0	0.4	0.3	0.2	0.2	0.0	0.2	0.2	0.6	0.3	0.2
alpha_rarefaction_10_6.txt	10	6	0.4	0.0	0.4	0.2	0.4	0.2	0.0	0.4	0.0	0.0	0.2	0.6	0.0	0.0	0.3	0.2	0.2	0.5	0.0	0.4	0.4	0.0	0.3	0.4	0.4	0.4	0.0	0.0	0.0	0.0	0.6	0.5
alpha_rarefaction_10_7.txt	10	7	0.4	0.2	0.4	0.0	0.0	0.6	0.4	0.4	0.4	0.4	0.2	0.2	0.2	0.0	0.4	0.2	0.2	0.2	0.2	0.0	0.2	0.5	0.2	0.4	0.4	0.6	0.0	0.3	0.2	0.2	0.2	0.2
alpha_rarefaction_10_8.txt	10	8	0.5	0.0	0.2	0.6	0.0	0.0	0.2	0.2	0.5	0.0	0.2	0.2	0.2	0.0	0.0	0.3	0.6	0.2	0.4	0.2	0.0	0.4	0.0	0.2	0.0	0.4	0.5	0.4	0.0	0.4	0.2	0.0
alpha_rarefaction_10_9.txt	10	9	0.7	0.4	0.4	0.3	0.6	0.5	0.0	0.2	0.6	0.2	0.0	0.2	0.6	0.2	0.0	0.2	0.2	0.6	0.0	0.2	0.2	0.2	0.2	0.2	0.2	0.0	0.2	0.4	0.2	0.2	0.4	0.0
