	sequences per sample	iteration	A1	A2	B1	B2	C1	C2	D1	D2	E1	E2	F1	F2	G1	G2	H1	H2	s1r1	s1	s2r1	s2	s3r1	s3	s4r1	s4	s5r1	s5	s6r1	s6	s7r1	s7	s8r1	s8
alpha_rarefaction_10_0.txt	10	0	3.32192809489	2.64643934467	3.12192809489	3.32192809489	3.32192809489	2.64643934467	2.92192809489	2.72192809489	2.92192809489	3.32192809489	3.12192809489	3.12192809489	3.12192809489	2.72192809489	3.12192809489	2.92192809489	3.32192809489	2.84643934467	2.92192809489	2.92192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	2.92192809489	3.12192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	2.84643934467	3.32192809489
alpha_rarefaction_10_1.txt	10	1	3.12192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	2.84643934467	3.12192809489	2.64643934467	2.92192809489	2.92192809489	2.92192809489	3.12192809489	3.12192809489	3.32192809489	2.92192809489	3.12192809489	3.12192809489	3.12192809489	3.12192809489	3.12192809489	3.32192809489	3.12192809489	3.12192809489	2.84643934467	2.64643934467	3.32192809489	2.92192809489	3.12192809489	2.84643934467	3.12192809489	3.12192809489	3.12192809489
alpha_rarefaction_10_2.txt	10	2	2.32192809489	3.12192809489	2.92192809489	2.92192809489	2.84643934467	3.32192809489	2.92192809489	2.92192809489	3.32192809489	3.12192809489	3.12192809489	3.32192809489	3.32192809489	3.12192809489	3.12192809489	3.32192809489	3.32192809489	2.92192809489	3.12192809489	3.12192809489	2.92192809489	3.12192809489	2.64643934467	2.92192809489	2.92192809489	3.32192809489	2.92192809489	3.12192809489	2.64643934467	3.32192809489	2.84643934467	3.12192809489
alpha_rarefaction_10_3.txt	10	3	2.92192809489	2.84643934467	3.12192809489	2.92192809489	2.92192809489	2.92192809489	2.92192809489	2.84643934467	3.12192809489	2.92192809489	3.12192809489	3.32192809489	3.12192809489	2.92192809489	3.12192809489	2.72192809489	2.72192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	2.92192809489	3.12192809489	3.12192809489	2.84643934467	2.92192809489	2.84643934467	3.12192809489	2.64643934467	3.32192809489
alpha_rarefaction_10_4.txt	10	4	2.84643934467	2.52192809489	3.12192809489	2.92192809489	3.32192809489	2.52192809489	3.32192809489	3.32192809489	2.92192809489	3.12192809489	2.44643934467	2.92192809489	3.12192809489	3.32192809489	3.32192809489	3.32192809489	3.12192809489	3.32192809489	3.12192809489	2.92192809489	2.64643934467	3.12192809489	3.12192809489	2.84643934467	2.44643934467	3.12192809489	2.92192809489	3.12192809489	2.64643934467	3.12192809489	3.32192809489	2.92192809489
alpha_rarefaction_10_5.txt	10	5	2.92192809489	3.32192809489	3.12192809489	2.84643934467	3.32192809489	3.32192809489	2.92192809489	3.12192809489	2.92192809489	3.12192809489	3.12192809489	2.64643934467	2.92192809489	3.12192809489	2.64643934467	2.84643934467	3.12192809489	2.16096404744	2.92192809489	3.12192809489	2.92192809489	3.32192809489	2.92192809489	2.84643934467	3.12192809489	3.12192809489	3.32192809489	3.12192809489	3.12192809489	2.72192809489	2.84643934467	3.12192809489
alpha_rarefaction_10_6.txt	10	6	2.92192809489	3.32192809489	2.52192809489	3.12192809489	2.92192809489	3.12192809489	3.32192809489	2.92192809489	3.32192809489	3.32192809489	3.12192809489	2.37095059445	3.32192809489	3.32192809489	2.84643934467	3.12192809489	3.12192809489	2.64643934467	3.32192809489	2.92192809489	2.92192809489	3.32192809489	2.84643934467	2.52192809489	2.92192809489	2.92192809489	3.32192809489	3.32192809489	3.32192809489	3.32192809489	2.72192809489	2.64643934467
alpha_rarefaction_10_7.txt	10	7	2.92192809489	3.12192809489	2.52192809489	3.32192809489	3.32192809489	2.72192809489	2.92192809489	2.92192809489	2.92192809489	2.92192809489	3.12192809489	3.12192809489	3.12192809489	3.32192809489	2.52192809489	3.12192809489	3.12192809489	3.12192809489	3.12192809489	3.32192809489	3.12192809489	2.64643934467	3.12192809489	2.92192809489	2.92192809489	2.72192809489	3.32192809489	2.84643934467	3.12192809489	3.12192809489	3.12192809489	3.12192809489
alpha_rarefaction_10_8.txt	10	8	2.64643934467	3.32192809489	3.12192809489	2.32192809489	3.32192809489	3.32192809489	3.12192809489	3.12192809489	2.16096404744	3.32192809489	3.12192809489	3.12192809489	3.12192809489	3.32192809489	3.32192809489	2.84643934467	2.72192809489	3.12192809489	2.92192809489	3.12192809489	3.32192809489	2.92192809489	3.32192809489	3.12192809489	3.32192809489	2.92192809489	2.64643934467	2.92192809489	3.32192809489	2.92192809489	3.12192809489	3.32192809489
alpha_rarefaction_10_9.txt	10	9	2.44643934467	2.92192809489	2.92192809489	2.84643934467	2.72192809489	2.64643934467	3.32192809489	3.12192809489	2.32192809489	3.12192809489	3.32192809489	3.12192809489	2.72192809489	3.12192809489	3.32192809489	3.12192809489	3.12192809489	2.32192809489	3.32192809489	3.12192809489	3.12192809489	3.12192809489	3.12192809489	3.12192809489	3.12192809489	3.32192809489	3.12192809489	2.92192809489	3.12192809489	3.12192809489	2.92192809489	3.32192809489
