	s8r1	s3r1	s8	G2	G1	s3	s2	s1	s1r1	s7	s6	s5	s4	A1	A2	C2	C1	E1	E2	s6r1	s5r1	s7r1	F1	F2	H2	s4r1	H1	s2r1	B1	B2	D2	D1
s8r1	0.0	0.246251214444	0.159835268462	0.262010070782	0.297892135581	0.237967383519	0.266117571502	0.275176714416	0.23539810444	0.183993383335	0.17233097504	0.201078906317	0.253503790466	0.265258543143	0.287544600679	0.200335402181	0.276922563127	0.195381548537	0.249902247097	0.183027146665	0.185642897086	0.175858629176	0.165352018182	0.229678778694	0.199725331723	0.241907618481	0.17914574809	0.237666596168	0.203232280151	0.235016619526	0.261674355377	0.250807538041
s3r1	0.246251214444	0.0	0.25000826911	0.149048322652	0.198249073393	0.109231232284	0.188189802223	0.238251987006	0.182371180552	0.248672497709	0.287518745852	0.221535182817	0.197863105894	0.204921425183	0.19377362764	0.274672495528	0.164748274731	0.24339134476	0.255329556934	0.238032712314	0.206670500687	0.255420687246	0.267575950474	0.216670773912	0.287123051737	0.196866830767	0.278492740856	0.174667675567	0.264762099086	0.207418840143	0.210752559461	0.187065685597
s8	0.159835268462	0.25000826911	0.0	0.260413187412	0.264769292338	0.22884556268	0.253579401156	0.290376073519	0.226594880789	0.187368344399	0.212177473617	0.157532026908	0.252432322718	0.257998652575	0.260938000673	0.220723213714	0.231069741703	0.205770922577	0.221319772881	0.203567955514	0.159245632483	0.199586026025	0.181834553132	0.248070542892	0.240959280652	0.244014671923	0.184088021121	0.224190193373	0.20278649072	0.24654043468	0.286835299506	0.255129936213
G2	0.262010070782	0.149048322652	0.260413187412	0.0	0.174088996436	0.141235367294	0.182759889766	0.265996899574	0.212568739881	0.227362186446	0.283425613861	0.22990623394	0.238488050894	0.236121019654	0.156374669841	0.261137548335	0.139828308572	0.212551622115	0.211906673348	0.252324407043	0.216877432397	0.286221407823	0.240755112336	0.183531444783	0.259142360175	0.185062504904	0.239555434111	0.201022767193	0.213582644964	0.197514485777	0.199795925317	0.151545429094
G1	0.297892135581	0.198249073393	0.264769292338	0.174088996436	0.0	0.183507936874	0.192296773491	0.272667479552	0.218601826116	0.256364223107	0.302307255256	0.239263759259	0.219095114985	0.219156192611	0.172966982229	0.311064455175	0.18254866138	0.252027803926	0.218483769681	0.29239170573	0.230389763989	0.304894038457	0.293094472927	0.214412794489	0.309393873653	0.178812287267	0.27399033004	0.20331584112	0.245866489565	0.258718688176	0.190573430106	0.147698831087
s3	0.237967383519	0.109231232284	0.22884556268	0.141235367294	0.183507936874	0.0	0.188645786396	0.244418633303	0.198110904922	0.246796631926	0.273034524027	0.212754890449	0.203721938342	0.218189210477	0.178354545103	0.289346741255	0.138018944057	0.253738730346	0.254793453521	0.235218165491	0.205948722488	0.273380981472	0.274158234486	0.22387259703	0.305211882828	0.195821630255	0.283074498109	0.16870767153	0.259438671655	0.215283548385	0.235423054014	0.178331250498
s2	0.266117571502	0.188189802223	0.253579401156	0.182759889766	0.192296773491	0.188645786396	0.0	0.265271247091	0.173974353344	0.233523132317	0.265898509615	0.226418213334	0.184907031676	0.23370684797	0.149719477197	0.27063181774	0.179544580734	0.205133742985	0.237936005807	0.258171838291	0.204874485941	0.245141037734	0.247645549971	0.166241928261	0.264536775697	0.164683684226	0.258885131727	0.141932361015	0.236815877522	0.162552002633	0.161637229423	0.174873216804
s1	0.275176714416	0.238251987006	0.290376073519	0.265996899574	0.272667479552	0.244418633303	0.265271247091	0.0	0.199533995025	0.288883940124	0.285046067648	0.272378874419	0.253515095583	0.253540088179	0.257138592604	0.291897868507	0.301185301346	0.299037550804	0.31769868069	0.276278129258	0.274900747354	0.246991842397	0.302807933442	0.229691472402	0.288416591727	0.258666801364	0.323690104849	0.229691828041	0.311777024814	0.253605619625	0.271112686101	0.273099140218
s1r1	0.23539810444	0.182371180552	0.226594880789	0.212568739881	0.218601826116	0.198110904922	0.173974353344	0.199533995025	0.0	0.220948350238	0.23978250577	0.214534514189	0.183401847468	0.214205486011	0.207531891032	0.243154554764	0.229547855746	0.234482374032	0.241767998942	0.224331028429	0.213841922799	0.229109314146	0.244120942084	0.174784189185	0.255992284067	0.201934004297	0.26420348513	0.138687794545	0.245325928202	0.193312593798	0.205579336009	0.192630281965
s7	0.183993383335	0.248672497709	0.187368344399	0.227362186446	0.256364223107	0.246796631926	0.233523132317	0.288883940124	0.220948350238	0.0	0.184014792242	0.199193084677	0.256673611292	0.254437365982	0.250395875079	0.143110054651	0.24323895236	0.137694322451	0.206868455833	0.191901605381	0.173345558022	0.157894043783	0.161197596094	0.192308266676	0.151338916879	0.199086181501	0.160108206204	0.223203704882	0.132977449167	0.237313783079	0.260564417198	0.219966600585
