	s8r1	s3r1	s8	G2	G1	s3	s2	s1	s1r1	s7	s6	s5	s4	A1	A2	C2	C1	E1	E2	s6r1	s5r1	s7r1	F1	F2	H2	s4r1	H1	s2r1	B1	B2	D2	D1
s8r1	0.0	0.2174285495	0.0210322085	0.2556960895	0.426589867	0.2086207085	0.134981157	0.2109898495	0.159508088	0.115983696	0.115989626	0.1071805785	0.165590324	0.583197055	0.3639553055	0.170647842	0.2771014095	0.239552896	0.185650024	0.067878732	0.0958376485	0.130040851	0.1444746165	0.243254521	0.127756711	0.1277693795	0.1501343675	0.1176939405	0.250037856	0.263249701	0.2308589405	0.2334468515
s3r1	0.2174285495	0.0	0.216865066	0.068806823	0.2573524705	0.047490853	0.1208961205	0.223259591	0.1598718475	0.1515811985	0.2770019935	0.204651148	0.1994126505	0.4391463975	0.197310395	0.1820499685	0.123885212	0.1409905945	0.1345843635	0.2141441135	0.171719312	0.2021321575	0.203108067	0.1965367115	0.1695451985	0.187940232	0.211352502	0.148361231	0.1556350335	0.2163811245	0.140294001	0.092554152
s8	0.0210322085	0.216865066	0.0	0.254775716	0.4238206115	0.208593672	0.1337189585	0.216492564	0.1614252075	0.1243342135	0.1188991515	0.112838106	0.1703357035	0.5785739025	0.360061051	0.1706918575	0.276075652	0.2388861855	0.1836559065	0.0716579495	0.101491683	0.1354972185	0.135986946	0.2408716765	0.1268680095	0.132951737	0.140889303	0.125503375	0.2484609135	0.2616776365	0.22898558	0.231469482
G2	0.2556960895	0.068806823	0.254775716	0.0	0.2071554075	0.094419564	0.1514867295	0.255143624	0.1731425955	0.1871100565	0.3099385215	0.243432773	0.2360591555	0.3953304325	0.152865115	0.1845868105	0.090808563	0.0990402565	0.1376488075	0.2461276325	0.210582568	0.2396690175	0.198192606	0.1599148815	0.1729725985	0.228633043	0.171517105	0.182097406	0.1072708255	0.1634183925	0.130729071	0.080659368
G1	0.426589867	0.2573524705	0.4238206115	0.2071554075	0.0	0.2790277465	0.326191103	0.3860377415	0.30403308	0.353052988	0.482818621	0.4144615345	0.407793477	0.201896496	0.1048345385	0.327337181	0.2204186635	0.237964994	0.281529312	0.416614674	0.3795658335	0.407748457	0.3483071985	0.271614087	0.339948344	0.4078268825	0.3278934995	0.3589875655	0.237867129	0.268039706	0.2503332965	0.2187184165
s3	0.2086207085	0.047490853	0.208593672	0.094419564	0.2790277465	0.0	0.1295938395	0.238105244	0.1667105505	0.1482386455	0.2721983135	0.194227247	0.2061312615	0.4538287485	0.214624241	0.1888752565	0.123488809	0.1630753205	0.1480027895	0.2100892535	0.170998944	0.2012739835	0.21156138	0.2158035055	0.1724139765	0.178168374	0.2230746	0.154862908	0.1790981535	0.2367402345	0.167214876	0.120369659
s2	0.134981157	0.1208961205	0.1337189585	0.1514867295	0.326191103	0.1295938395	0.0	0.1885462455	0.107943043	0.100255244	0.188912199	0.1578308485	0.142620647	0.502075433	0.2609464655	0.155844904	0.1821789315	0.176271221	0.162085627	0.130985957	0.1213362515	0.145217713	0.1955012955	0.191623996	0.106075987	0.1290559865	0.2108481435	0.0526855305	0.187829871	0.206797136	0.1709466475	0.1325148505
s1	0.2109898495	0.223259591	0.216492564	0.255143624	0.3860377415	0.238105244	0.1885462455	0.0	0.1667306205	0.1798787335	0.1800114395	0.167698124	0.0716465295	0.5485688275	0.317239404	0.2259869035	0.320727203	0.2826135345	0.2422317325	0.1857799135	0.166660321	0.1550827965	0.288300481	0.2716288905	0.2006264705	0.136985689	0.315849344	0.171189825	0.2918601765	0.3252717055	0.219291282	0.208585244
s1r1	0.159508088	0.1598718475	0.1614252075	0.1731425955	0.30403308	0.1667105505	0.107943043	0.1667306205	0.0	0.139604794	0.214476374	0.1764291265	0.140938673	0.48077125	0.2469972785	0.113655422	0.2227088915	0.181761654	0.169267308	0.157565566	0.1522883635	0.166647454	0.1778867955	0.14228027	0.103924614	0.1569561425	0.2038027645	0.1081595665	0.19073659	0.189680885	0.1146123385	0.1171348575
s7	0.115983696	0.1515811985	0.1243342135	0.1871100565	0.353052988	0.1482386455	0.100255244	0.1798787335	0.139604794	0.0	0.166284501	0.1064900105	0.150758876	0.526902573	0.2869115095	0.130823652	0.2095142735	0.155536519	0.144130428	0.101357723	0.0712864555	0.073003587	0.1992611185	0.231914219	0.076965522	0.1153888605	0.2162618135	0.0842434165	0.168918203	0.251648573	0.2003573185	0.1724860225
