OTU	Test-Statistic	P	FDR_P	Bonferroni_P	ERNESTO_BEADS_mean	CORE_BEADS_mean	taxonomy
OTU_7	19.4481668194	1.03367002837e-05	0.00351180555361	0.00486858583362	654.875	173.875	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__reuteri
OTU_8	18.4636113657	1.73179494771e-05	0.00351180555361	0.00815675420369	549.1875	110.875	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
OTU_33	17.8312545855	2.41385509522e-05	0.00351180555361	0.0113692574985	119.625	184.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
OTU_448	17.4289897511	2.98242509861e-05	0.00351180555361	0.0140472222144	1.625	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
OTU_30	16.4211473231	5.07162521526e-05	0.00477747095277	0.0238873547639	89.3125	177.3125	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
OTU_24	15.9602272727	6.46873405059e-05	0.00507795622971	0.0304677373783	199.125	334.0625	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
OTU_1	15.6605113636	7.57901618004e-05	0.00509959517257	0.035697166208	1726.6875	472.5625	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
OTU_9	13.926980198	0.000190050795645	0.0111892405936	0.089513924749	411.9375	642.6875	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
OTU_513	13.4705300633	0.000242339836796	0.012682451459	0.114142063131	1.8125	0.0625	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
OTU_21	13.2324784562	0.000275139758958	0.0129590826469	0.129590826469	55.375	116.75	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__
OTU_65	12.5949972411	0.00038678062475	0.015048380545	0.182173674257	18.4375	32.625	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
OTU_4	12.5534372136	0.000395478196902	0.015048380545	0.186270230741	1431.9375	2246.625	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
OTU_17	12.2855113636	0.00045648830523	0.015048380545	0.215005991763	216.0625	375.25	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
