# Constructed from biom file
#OTU ID	A1	A2	B1	B2	C1	C2	D1	D2	E1	E2	F1	F2	G1	G2	H1	H2	s1	s1r1	s2	s2r1	s3	s3r1	s4	s4r1	s5	s5r1	s6	s6r1	s7	s7r1	s8	s8r1
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	0.00267155178994	0.0166742551961	0.0427526187825	0.0456844553839	0.0507107999151	0.0508370487736	0.0433400876327	0.0453376937535	0.0362588245123	0.0504584040747	0.0474253542001	0.0581437423674	0.0150054224588	0.0432477614675	0.0497436615471	0.0513695127747	0.0251781472684	0.0474473532947	0.0419900929425	0.0492924304302	0.0414450026556	0.0402856477529	0.0570239862189	0.0611631733314	0.0588838145924	0.0485922314928	0.0583390883978	0.0419108052094	0.0388449639051	0.0629126399388	0.0532877336981	0.0520222901312
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0.00115767244231	0.00429469746379	0.0041923242973	0.0134429688134	0.00948440483768	0.00534286451233	0.00738643251762	0.00722335072444	0.00428171602824	0.00398981324278	0.0148848598101	0.0152313537473	0.00336521081863	0.0100247326356	0.0118260345088	0.00568499702214	0.00957753647777	0.0132727177719	0.0199992339904	0.0207047202963	0.0154199789292	0.0117208724676	0.0143271323433	0.0141641032978	0.0118756517674	0.0104059248148	0.0276156767956	0.019778420285	0.00650156186946	0.00545402353842	0.020455996352	0.0204925399964
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.00227717985904	0.00808486026851	0.0109182212729	0.0283465418842	0.0233184807978	0.0157706621467	0.00984569023744	0.0105020945189	0.0100394057117	0.00738539898132	0.0412233292792	0.0250011307612	0.00382529823524	0.0165972015481	0.0273840553174	0.0191244502999	0.0062351543943	0.0138736479072	0.0322553876009	0.0289042960712	0.018676371995	0.0137778467748	0.0123814723955	0.00977656961633	0.00585242187781	0.00890597168838	0.0486878453039	0.0350280172965	0.0183089960692	0.0141613242752	0.0284632922937	0.0231529750135
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.00306592372084	0.00943848984163	0.00988434183917	0.0200427361986	0.0194037767876	0.00907672844738	0.0174659254256	0.0151041359372	0.00976788225629	0.00816638370119	0.0114455550812	0.0176172599394	0.00934634723455	0.0176334531797	0.0113682872714	0.0112857718662	0.0103155751612	0.0220253958301	0.0184033806557	0.0276696109159	0.0214277629276	0.0191725529768	0.0193950766344	0.0204831056108	0.0132061562803	0.0106559170026	0.0138121546961	0.0147890387125	0.0116579730073	0.0113386278825	0.0135613315093	0.0181197195758
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	0.10032313055	0.309624306265	0.352552886909	0.270374076979	0.293157224698	0.429566306791	0.392476749623	0.391097662736	0.365484495314	0.429134125637	0.341602699894	0.299617802705	0.237069900424	0.342380974191	0.315323223402	0.450329970462	0.637750254496	0.436954590584	0.420086048412	0.443156994966	0.387005772697	0.395870527051	0.547791714411	0.510503851015	0.533091804811	0.517421330583	0.482777969613	0.474733259985	0.501711330653	0.539374222562	0.439069767442	0.448355204027
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	0.000776022186602	0.00552526980299	0.0331750323797	0.0391387844527	0.0165393592192	0.0460468943832	0.0230771895187	0.0293822644404	0.037769608867	0.0173344651952	0.0366483290778	0.0393617983627	0.00638864241349	0.0238566881169	0.0472179738492	0.0506536242608	0.0188920936546	0.0382766368814	0.0375025533653	0.0397315351252	0.021070778661	0.0207249864162	0.0412203056147	0.0524834871355	0.0388093782588	0.0404987344145	0.0648998618785	0.0502008545915	0.0489634866307	0.0498516888336	0.0540264477884	0.0565881718497
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.138373661044	0.098741124497	0.21583085278	0.31581509832	0.0775832802886	0.246950882494	0.108380526835	0.210775182691	0.194243702744	0.153701188455	0.200365677833	0.246720792437	0.141733215025	0.111726246365	0.142235529802	0.159986043182	0.042653545979	0.0817526258034	0.0629021550403	0.0589799601102	0.0325552237247	0.0489792750136	0.037328985719	0.0246560316665	0.0262504944442	0.0516546357926	0.0761826657459	0.0822096563723	0.0686325795507	0.0581762510765	0.0492384860921	0.0523818083768
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	0.125601099153	0.155187477696	0.167488468268	0.0798734142977	0.232113303628	0.0829679305305	0.110077761036	0.0596916800823	0.169959758831	0.1559762309	0.0743276441165	0.0600094983943	0.138933254461	0.15214006	0.103795532387	0.119270635938	0.02611978283	0.0624967340754	0.119146409968	0.111184981163	0.153764442626	0.136031980129	0.0390362446456	0.091565920309	0.113524398576	0.121183713009	0.0489986187845	0.08123736663	0.163226568222	0.130418141805	0.0910442316461	0.0889807657739
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.019197007862	0.0170311211745	0.0164739030653	0.0245597901058	0.00589857840017	0.0182762813663	0.020522678859	0.0215351938167	0.0137014912904	0.0116638370119	0.0112200269023	0.044778144647	0.0296690656939	0.0059484278746	0.0079055640523	0.0149975635727	0.00637088564642	0.0209802999425	0.0111135226228	0.0135498781144	0.00397036159894	0.00652022044555	0.0120277160413	0.00593747764504	0.00390161458521	0.00456235742633	0.00574930939227	0.00660133561907	0.00533576456873	0.00784613912544	0.00634746922025	0.00586014740248
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	0.114545963412	0.0655279770621	0.0317548683224	0.0174461064077	0.0730744748568	0.0126263556751	0.0337455187821	0.0188548839797	0.0367740228637	0.0280475382003	0.0208291382407	0.013071599801	0.0638075520063	0.0580186410791	0.027529457381	0.0226978769995	0.00810994231422	0.0182891780321	0.0413198345419	0.0339063538798	0.0781534335792	0.0541799270356	0.014365584121	0.024799103417	0.0235625157323	0.0265616699478	0.0123014502762	0.0252795333009	0.0373802442196	0.0262175868338	0.0227086183311	0.0238720115046
