	sequences per sample	iteration	S1	S2	S3	S4	S5	S6
alpha_rarefaction_10_0.txt	10	0	1.24354	1.13663	1.2357	1.17327	1.38086	1.52752
alpha_rarefaction_10_1.txt	10	1	1.19852	1.231	1.18733	1.3942	1.62594	1.75935
alpha_rarefaction_10_2.txt	10	2	1.16353	1.34288	1.36208	1.41319	1.21974	1.57695
alpha_rarefaction_10_3.txt	10	3	1.02675	1.15786	1.26177	1.441	1.37758	1.49905
alpha_rarefaction_10_4.txt	10	4	1.33665	1.32639	1.1046	1.3662	1.44276	1.25736
alpha_rarefaction_10_5.txt	10	5	1.44426	1.20135	1.62304	1.08403	1.63161	1.63511
alpha_rarefaction_10_6.txt	10	6	1.22466	1.31983	1.30644	1.05617	1.10745	1.40054
alpha_rarefaction_10_7.txt	10	7	1.36561	1.28068	1.48658	0.99078	1.75114	1.98489
alpha_rarefaction_10_8.txt	10	8	1.54917	1.51179	1.19972	0.95703	1.67348	1.38344
alpha_rarefaction_10_9.txt	10	9	1.39426	1.19481	1.6361	1.90175	1.59534	1.1406
alpha_rarefaction_209_0.txt	209	0	3.54109	3.01589	3.85203	3.42349	3.48423	3.40336
alpha_rarefaction_209_1.txt	209	1	2.91388	2.88446	3.65922	3.15755	3.29338	3.25265
alpha_rarefaction_209_2.txt	209	2	2.61837	3.59033	3.36859	3.23848	3.13405	3.11846
alpha_rarefaction_209_3.txt	209	3	2.89101	2.55577	3.60435	3.36357	3.06441	3.11201
alpha_rarefaction_209_4.txt	209	4	3.05675	3.15049	3.67417	3.42895	3.20383	3.45833
alpha_rarefaction_209_5.txt	209	5	3.24001	3.01136	3.64115	3.42584	3.24395	3.27711
alpha_rarefaction_209_6.txt	209	6	2.99738	3.15131	3.43365	3.32721	3.2283	3.41819
alpha_rarefaction_209_7.txt	209	7	3.07606	3.23476	3.42495	3.08842	3.32243	3.61588
alpha_rarefaction_209_8.txt	209	8	3.2731	3.13294	3.52047	3.42357	3.18819	3.27157
alpha_rarefaction_209_9.txt	209	9	2.78077	3.1977	3.22418	3.08711	3.73409	3.23891
alpha_rarefaction_408_0.txt	408	0	3.4836	3.22027	3.59835	3.61054	3.4241	3.61866
alpha_rarefaction_408_1.txt	408	1	3.6124	3.09344	3.87986	3.55922	3.6878	3.4312
alpha_rarefaction_408_2.txt	408	2	3.49184	3.09977	4.27396	3.91767	3.6712	3.69359
alpha_rarefaction_408_3.txt	408	3	3.40755	3.61353	4.05827	3.90973	3.53005	3.53553
alpha_rarefaction_408_4.txt	408	4	3.33021	3.36257	4.19626	3.93385	3.71878	3.57838
alpha_rarefaction_408_5.txt	408	5	3.3079	3.08109	3.68235	3.39002	3.46627	3.7942
alpha_rarefaction_408_6.txt	408	6	4.05941	3.05704	3.8897	3.74103	3.65679	3.06183
alpha_rarefaction_408_7.txt	408	7	2.67617	3.22036	3.60855	3.61582	3.39396	3.58328
alpha_rarefaction_408_8.txt	408	8	3.78385	3.29409	3.98097	3.77486	3.63282	3.62611
alpha_rarefaction_408_9.txt	408	9	3.40676	3.32292	4.01004	3.70345	3.71436	3.51565
alpha_rarefaction_607_0.txt	607	0	3.93941	3.85557	4.11783	3.96553	3.67148	3.92202
alpha_rarefaction_607_1.txt	607	1	3.62425	3.62631	4.10169	3.99257	3.99891	3.56999
alpha_rarefaction_607_2.txt	607	2	3.92094	3.34386	4.30339	3.69173	3.75507	3.78169
alpha_rarefaction_607_3.txt	607	3	3.92458	3.26669	3.98001	3.85112	3.81435	3.89159
alpha_rarefaction_607_4.txt	607	4	3.76046	3.49171	4.05131	3.93144	3.77267	3.77441
alpha_rarefaction_607_5.txt	607	5	4.04011	3.3149	3.92284	3.98557	3.88636	3.54749
alpha_rarefaction_607_6.txt	607	6	3.78224	3.06085	3.92882	3.94002	3.85522	3.89575
alpha_rarefaction_607_7.txt	607	7	3.66912	3.37529	4.46216	3.88544	3.84125	3.65168
alpha_rarefaction_607_8.txt	607	8	3.66277	3.22469	4.16706	3.82512	3.74156	3.81851
alpha_rarefaction_607_9.txt	607	9	3.47987	3.61843	3.85959	3.95608	3.84976	3.79908
alpha_rarefaction_806_0.txt	806	0	3.73918	3.81962	4.12153	3.94198	3.72647	3.91661
alpha_rarefaction_806_1.txt	806	1	3.59583	4.14611	4.0341	3.75353	3.80305	3.86243
alpha_rarefaction_806_2.txt	806	2	3.92067	3.65219	4.42117	3.81212	3.84131	3.62906
alpha_rarefaction_806_3.txt	806	3	4.09851	3.3371	4.28802	3.96299	3.689	3.97787
alpha_rarefaction_806_4.txt	806	4	3.81019	3.40185	4.30569	4.1167	3.76677	3.73178
alpha_rarefaction_806_5.txt	806	5	3.88187	3.71151	4.23474	4.15328	3.85431	3.81659
alpha_rarefaction_806_6.txt	806	6	4.0249	3.8141	4.26735	3.69746	3.8771	3.96589
alpha_rarefaction_806_7.txt	806	7	3.8637	3.80591	3.94085	4.00982	3.8392	3.78278
alpha_rarefaction_806_8.txt	806	8	3.3008	3.61618	3.99558	3.87846	3.8807	3.84631
alpha_rarefaction_806_9.txt	806	9	4.03253	3.31161	4.04201	4.07166	3.93973	3.85538
alpha_rarefaction_1005_0.txt	1005	0	4.02118	4.07101	4.18657	4.12496	3.73703	3.99271
alpha_rarefaction_1005_1.txt	1005	1	4.40498	3.96833	4.29128	3.84088	3.84623	3.88821
alpha_rarefaction_1005_2.txt	1005	2	3.92941	3.41524	4.37982	4.17942	3.82192	3.73306
alpha_rarefaction_1005_3.txt	1005	3	4.0146	3.66247	4.14835	4.00672	3.76293	4.01584
alpha_rarefaction_1005_4.txt	1005	4	4.55264	3.8467	4.33817	4.0811	3.94005	3.93893
alpha_rarefaction_1005_5.txt	1005	5	4.12401	3.48483	4.13619	4.07012	3.81507	3.71893
alpha_rarefaction_1005_6.txt	1005	6	4.05131	3.40462	4.43409	4.12215	4.04798	3.82812
alpha_rarefaction_1005_7.txt	1005	7	3.60264	3.70654	4.1349	4.14554	3.8067	3.94115
alpha_rarefaction_1005_8.txt	1005	8	4.10789	4.0424	4.0788	4.01193	3.95338	3.88573
alpha_rarefaction_1005_9.txt	1005	9	4.26336	3.77024	4.3381	3.88381	3.94525	3.5361
alpha_rarefaction_1204_0.txt	1204	0	4.50182	3.95621	4.25978	4.12731	3.78459	4.05355
alpha_rarefaction_1204_1.txt	1204	1	4.40723	3.93192	4.6432	4.01389	4.05833	3.99765
alpha_rarefaction_1204_2.txt	1204	2	4.43812	3.50588	4.50963	4.01705	4.13103	3.955
alpha_rarefaction_1204_3.txt	1204	3	4.68814	3.69059	4.31025	3.88478	3.89285	3.90925
alpha_rarefaction_1204_4.txt	1204	4	3.90816	3.65351	4.56888	4.20982	4.08946	3.95474
alpha_rarefaction_1204_5.txt	1204	5	4.18552	3.64324	4.3728	4.15094	3.82874	3.93057
alpha_rarefaction_1204_6.txt	1204	6	4.18931	3.67543	4.52445	4.19932	4.04133	3.82195
alpha_rarefaction_1204_7.txt	1204	7	4.51169	4.01228	4.71744	3.93303	4.03761	3.90122
alpha_rarefaction_1204_8.txt	1204	8	3.95305	3.88565	4.50559	3.92819	3.81859	4.08721
alpha_rarefaction_1204_9.txt	1204	9	4.1827	3.52094	4.4095	3.99776	3.90057	3.88542
alpha_rarefaction_1403_0.txt	1403	0	4.12954	3.82885	4.65578	4.23995	3.92398	4.04492
alpha_rarefaction_1403_1.txt	1403	1	4.67322	3.69007	4.34375	4.18484	3.92258	3.88459
alpha_rarefaction_1403_2.txt	1403	2	4.21013	3.87919	4.06024	4.20074	4.06886	4.02221
alpha_rarefaction_1403_3.txt	1403	3	4.34852	3.82713	4.47226	4.23401	3.9337	3.94336
alpha_rarefaction_1403_4.txt	1403	4	4.46101	3.97277	4.27574	4.14537	3.90868	3.98995
alpha_rarefaction_1403_5.txt	1403	5	4.44979	4.06819	4.49712	4.05178	3.99131	3.76198
alpha_rarefaction_1403_6.txt	1403	6	4.37952	4.01601	4.48952	4.25331	3.97075	3.95141
alpha_rarefaction_1403_7.txt	1403	7	4.2817	4.00958	4.52355	4.18661	4.04133	4.02539
alpha_rarefaction_1403_8.txt	1403	8	4.02404	3.7927	4.47417	4.14379	3.97495	4.02297
alpha_rarefaction_1403_9.txt	1403	9	4.03122	3.76763	4.57301	4.20582	3.92277	4.04409
alpha_rarefaction_1602_0.txt	1602	0	4.47941	4.04818	4.67002	4.20767	3.88068	3.98571
alpha_rarefaction_1602_1.txt	1602	1	4.35502	4.1844	4.58267	4.06612	3.90309	4.06992
alpha_rarefaction_1602_2.txt	1602	2	4.38647	4.16826	4.52417	4.24581	4.12136	3.92662
alpha_rarefaction_1602_3.txt	1602	3	4.89424	4.17104	4.55115	4.14728	4.01867	4.04077
alpha_rarefaction_1602_4.txt	1602	4	4.1513	4.08693	4.63472	4.12301	3.95319	4.00412
alpha_rarefaction_1602_5.txt	1602	5	4.55047	4.12937	4.31013	4.1471	3.95197	3.97665
alpha_rarefaction_1602_6.txt	1602	6	4.61867	3.78299	4.39111	4.14722	4.0999	4.02596
alpha_rarefaction_1602_7.txt	1602	7	4.56304	3.99001	4.70563	4.23606	4.10991	3.97865
alpha_rarefaction_1602_8.txt	1602	8	4.14717	4.17213	4.49897	4.04385	3.90917	3.83073
alpha_rarefaction_1602_9.txt	1602	9	4.66386	3.86133	4.63468	4.2016	4.0396	3.94543
alpha_rarefaction_1801_0.txt	1801	0	4.6857	4.15698	4.61177	4.22006	4.08771	4.10078
alpha_rarefaction_1801_1.txt	1801	1	4.4969	4.18484	4.72238	4.23524	4.09041	4.02165
alpha_rarefaction_1801_2.txt	1801	2	4.50488	3.89431	4.68519	4.16247	3.93351	3.97619
alpha_rarefaction_1801_3.txt	1801	3	4.5359	4.31707	4.57399	4.21041	3.92225	3.98087
alpha_rarefaction_1801_4.txt	1801	4	4.52741	4.35127	4.50378	4.06265	4.10009	3.97655
alpha_rarefaction_1801_5.txt	1801	5	4.86594	4.08884	4.56467	4.22949	4.04997	4.09453
alpha_rarefaction_1801_6.txt	1801	6	4.57019	4.04462	4.74481	4.15695	3.9632	3.97563
alpha_rarefaction_1801_7.txt	1801	7	4.6875	4.02076	4.68464	4.28592	3.9632	4.0549
alpha_rarefaction_1801_8.txt	1801	8	4.56043	4.34621	4.47908	4.2577	4.13103	3.9417
alpha_rarefaction_1801_9.txt	1801	9	4.12086	4.08747	4.40304	4.26511	4.06101	4.06011
alpha_rarefaction_2000_0.txt	2000	0	4.69838	4.24196	4.36474	4.21446	3.98432	4.02454
alpha_rarefaction_2000_1.txt	2000	1	4.67626	4.14216	4.47089	4.28044	4.08074	3.98728
alpha_rarefaction_2000_2.txt	2000	2	4.63181	4.19678	4.68519	4.27812	4.07466	4.10133
alpha_rarefaction_2000_3.txt	2000	3	4.78551	4.24266	4.72932	4.2641	3.95338	3.97913
alpha_rarefaction_2000_4.txt	2000	4	4.49037	4.38067	4.37912	4.2641	4.14104	4.05279
alpha_rarefaction_2000_5.txt	2000	5	5.00116	4.05807	4.60956	4.289	4.04884	4.09107
alpha_rarefaction_2000_6.txt	2000	6	4.69946	4.40447	4.67045	4.1699	4.0999	4.00133
alpha_rarefaction_2000_7.txt	2000	7	4.76275	3.73262	4.39324	4.25331	4.07102	3.89965
alpha_rarefaction_2000_8.txt	2000	8	4.32327	4.20144	4.61424	4.26492	4.10042	4.07018
alpha_rarefaction_2000_9.txt	2000	9	4.6376	3.80801	4.37536	4.27435	4.09041	4.0186
