	sequences per sample	iteration	S1	S2	S3	S4	S5	S6
alpha_rarefaction_10_0.txt	10	0	23.0	12.0	23.0	29.0	13.0	13.0
alpha_rarefaction_10_1.txt	10	1	13.0	8.5	23.0	13.0	13.0	13.0
alpha_rarefaction_10_2.txt	10	2	7.0	13.0	55.0	29.0	13.0	22.0
alpha_rarefaction_10_3.txt	10	3	9.0	13.0	22.0	13.0	23.0	12.0
alpha_rarefaction_10_4.txt	10	4	23.0	12.0	7.0	13.0	13.0	12.0
alpha_rarefaction_10_5.txt	10	5	23.0	13.0	13.0	13.0	23.0	23.0
alpha_rarefaction_10_6.txt	10	6	12.0	12.0	13.0	16.0	5.0	13.0
alpha_rarefaction_10_7.txt	10	7	29.0	13.0	13.0	29.0	55.0	23.0
alpha_rarefaction_10_8.txt	10	8	23.0	23.0	13.0	8.5	29.0	8.5
alpha_rarefaction_10_9.txt	10	9	23.0	12.0	23.0	23.0	23.0	9.0
alpha_rarefaction_209_0.txt	209	0	42.4285714286	38.0	50.0	43.5	46.25	31.75
alpha_rarefaction_209_1.txt	209	1	45.0	38.1428571429	56.6	41.8571428571	32.8571428571	41.3333333333
alpha_rarefaction_209_2.txt	209	2	34.25	74.0	46.8571428571	40.5	36.0	36.0
alpha_rarefaction_209_3.txt	209	3	53.5	28.3333333333	48.25	63.25	41.3333333333	40.2
alpha_rarefaction_209_4.txt	209	4	34.6666666667	38.1428571429	48.875	49.0	34.875	55.3333333333
alpha_rarefaction_209_5.txt	209	5	36.5	55.0	42.2727272727	54.1428571429	41.1428571429	34.5
alpha_rarefaction_209_6.txt	209	6	45.0	62.0	56.5	42.0	36.1111111111	35.1428571429
alpha_rarefaction_209_7.txt	209	7	40.1428571429	63.0	48.8571428571	38.3333333333	38.2	41.0
alpha_rarefaction_209_8.txt	209	8	38.6666666667	38.6666666667	46.4285714286	39.625	50.75	47.0
alpha_rarefaction_209_9.txt	209	9	43.0	74.0	46.4285714286	36.6666666667	46.6	52.5
alpha_rarefaction_408_0.txt	408	0	45.0	39.875	43.4285714286	62.0	39.8571428571	51.0
alpha_rarefaction_408_1.txt	408	1	48.5	36.6666666667	48.1111111111	47.0	45.0	41.25
alpha_rarefaction_408_2.txt	408	2	65.0	41.0	56.0	48.625	41.75	46.5
alpha_rarefaction_408_3.txt	408	3	46.1428571429	56.5	51.0	62.5	56.0	47.0
alpha_rarefaction_408_4.txt	408	4	41.75	51.25	54.5	46.1428571429	64.5	49.0
alpha_rarefaction_408_5.txt	408	5	46.4285714286	41.5	50.2	42.1	45.0	48.3333333333
alpha_rarefaction_408_6.txt	408	6	64.1428571429	40.625	52.2	50.0	47.0	33.2
alpha_rarefaction_408_7.txt	408	7	42.5	44.0	47.6666666667	50.1666666667	37.75	43.1111111111
alpha_rarefaction_408_8.txt	408	8	54.0	43.2	47.625	44.5	43.5	44.6
alpha_rarefaction_408_9.txt	408	9	62.5	45.0	51.0	45.5	45.1111111111	40.25
alpha_rarefaction_607_0.txt	607	0	68.75	64.5	50.0	61.1666666667	44.0	64.0
alpha_rarefaction_607_1.txt	607	1	84.0	48.0	51.3333333333	56.4285714286	56.8571428571	40.6666666667
alpha_rarefaction_607_2.txt	607	2	65.5	40.25	54.0	42.8333333333	45.6666666667	44.2
alpha_rarefaction_607_3.txt	607	3	55.0	42.0	64.0	45.5	46.0	75.0
alpha_rarefaction_607_4.txt	607	4	62.6	47.0	48.5	45.875	48.75	45.2
alpha_rarefaction_607_5.txt	607	5	60.6	40.2	51.2	49.0	47.75	83.0
alpha_rarefaction_607_6.txt	607	6	67.75	45.6	52.75	51.5	47.1428571429	47.5
alpha_rarefaction_607_7.txt	607	7	47.25	57.0	58.0	46.2	47.6	47.2
alpha_rarefaction_607_8.txt	607	8	55.0	40.2	50.0	48.0	44.5	49.2
alpha_rarefaction_607_9.txt	607	9	53.0	45.5	51.75	52.625	49.75	54.0
alpha_rarefaction_806_0.txt	806	0	65.3333333333	47.2	51.2	51.6666666667	42.6	48.0
alpha_rarefaction_806_1.txt	806	1	48.6666666667	64.6	50.0	50.2	48.75	48.625
alpha_rarefaction_806_2.txt	806	2	67.5	52.0	68.0	65.0	56.0	47.25
alpha_rarefaction_806_3.txt	806	3	52.6	50.0	56.0	51.5	53.0	47.6666666667
alpha_rarefaction_806_4.txt	806	4	50.0	45.0	57.6666666667	54.0	47.5	44.5
alpha_rarefaction_806_5.txt	806	5	56.1666666667	47.5	52.5	57.0	52.0	46.6
alpha_rarefaction_806_6.txt	806	6	59.3333333333	57.0	57.0	48.75	53.0	66.0
alpha_rarefaction_806_7.txt	806	7	70.0	48.2	46.6	52.25	46.4285714286	44.875
alpha_rarefaction_806_8.txt	806	8	49.6666666667	60.75	53.2	49.0	50.0	51.1428571429
alpha_rarefaction_806_9.txt	806	9	60.0	43.5	51.3333333333	48.0	51.0	53.5
alpha_rarefaction_1005_0.txt	1005	0	155.0	52.0	51.2	56.2	44.6	56.0
alpha_rarefaction_1005_1.txt	1005	1	67.1428571429	51.6	54.5	46.0	57.5	46.75
alpha_rarefaction_1005_2.txt	1005	2	63.375	53.3333333333	55.1428571429	62.0	47.5	43.0
alpha_rarefaction_1005_3.txt	1005	3	70.5	46.5	52.6666666667	55.1428571429	46.2	49.5
alpha_rarefaction_1005_4.txt	1005	4	68.0	48.5	58.25	49.6666666667	46.8571428571	50.6
alpha_rarefaction_1005_5.txt	1005	5	58.875	44.8571428571	55.2	51.75	46.6	44.5
alpha_rarefaction_1005_6.txt	1005	6	57.1666666667	48.2	57.25	57.0	56.0	51.6
alpha_rarefaction_1005_7.txt	1005	7	56.875	53.2	52.5	52.1428571429	46.4285714286	45.4285714286
alpha_rarefaction_1005_8.txt	1005	8	72.75	51.6	49.0	56.0	57.0	48.25
alpha_rarefaction_1005_9.txt	1005	9	60.25	48.0	53.0	61.75	51.875	43.0
alpha_rarefaction_1204_0.txt	1204	0	76.0	45.6666666667	51.75	52.4285714286	50.75	66.3333333333
alpha_rarefaction_1204_1.txt	1204	1	66.0	58.0	83.5	55.6	58.0	54.5
alpha_rarefaction_1204_2.txt	1204	2	65.2	50.25	60.25	55.6	59.2	53.3333333333
alpha_rarefaction_1204_3.txt	1204	3	67.1	48.0	61.0	48.0	55.0	47.5
alpha_rarefaction_1204_4.txt	1204	4	66.5	46.0	63.3333333333	53.5	59.0	50.6666666667
alpha_rarefaction_1204_5.txt	1204	5	61.25	52.0	60.25	55.6666666667	48.0	50.1428571429
alpha_rarefaction_1204_6.txt	1204	6	60.25	47.5	83.5	57.0	56.5	45.2
alpha_rarefaction_1204_7.txt	1204	7	67.1111111111	49.75	78.5	53.2	56.0	46.6666666667
