OTU	Test-Statistic	P	FDR_P	Bonferroni_P	placebo_mean	drug_mean	taxonomy
OTU_60	4.5	0.0338948535247	0.293397325734	1.0	0.0	1.66666666667	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae; g__Dehalobacterium; s__
OTU_43	4.35483870968	0.0369039536137	0.293397325734	1.0	0.0	6.33333333333	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
OTU_37	4.35483870968	0.0369039536137	0.293397325734	1.0	0.0	6.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
OTU_22	4.35483870968	0.0369039536137	0.293397325734	1.0	0.0	11.3333333333	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
OTU_12	4.35483870968	0.0369039536137	0.293397325734	1.0	0.0	49.6666666667	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
OTU_33	4.35483870968	0.0369039536137	0.293397325734	1.0	0.0	27.6666666667	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
OTU_13	3.97058823529	0.0463015949151	0.293397325734	1.0	5.66666666667	47.6666666667	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
OTU_8	3.97058823529	0.0463015949151	0.293397325734	1.0	0.333333333333	122.333333333	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
OTU_10	3.97058823529	0.0463015949151	0.293397325734	1.0	162.666666667	0.333333333333	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Allobaculum; s__
OTU_16	3.85714285714	0.0495346134356	0.293397325734	1.0	13.6666666667	47.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
OTU_3	3.85714285714	0.0495346134356	0.293397325734	1.0	112.666666667	50.3333333333	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
OTU_27	3.85714285714	0.0495346134356	0.293397325734	1.0	8.66666666667	47.3333333333	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
