	sequences per sample	iteration	S1	S2	S3	S4	S5	S6
alpha_rarefaction_10_0.txt	10	0	1.15974	1.12391	1.54788	0.87939	1.39253	1.39209
alpha_rarefaction_10_1.txt	10	1	1.17756	1.22326	1.3406	1.54099	1.32324	1.19362
alpha_rarefaction_10_2.txt	10	2	1.18179	1.47272	1.47462	0.97276	1.30518	1.31822
alpha_rarefaction_10_3.txt	10	3	1.14178	0.80109	1.1241	1.00481	1.17163	1.38454
alpha_rarefaction_10_4.txt	10	4	1.27639	1.12377	1.33972	1.18608	1.74372	1.60647
alpha_rarefaction_10_5.txt	10	5	1.14828	1.08639	1.60286	1.35942	1.57453	1.29181
alpha_rarefaction_10_6.txt	10	6	1.26961	1.06382	1.24845	1.15437	1.72281	1.39222
alpha_rarefaction_10_7.txt	10	7	1.30774	1.33228	1.48206	0.83653	1.4847	1.44068
alpha_rarefaction_10_8.txt	10	8	1.1736	1.11173	0.87256	0.94038	1.88378	1.43654
alpha_rarefaction_10_9.txt	10	9	1.17155	1.00467	1.19481	1.48789	1.3339	1.40217
alpha_rarefaction_209_0.txt	209	0	2.94341	3.19253	3.42649	3.30541	3.25913	2.82297
alpha_rarefaction_209_1.txt	209	1	2.61658	2.69484	3.31397	3.34171	3.5057	3.27463
alpha_rarefaction_209_2.txt	209	2	2.79021	2.58206	3.27839	3.10743	3.39254	2.99086
alpha_rarefaction_209_3.txt	209	3	2.81164	2.92412	3.45702	3.43669	3.10591	3.14781
alpha_rarefaction_209_4.txt	209	4	3.05835	2.64263	3.50322	3.41597	3.22731	3.04205
alpha_rarefaction_209_5.txt	209	5	2.72825	2.78067	3.65223	3.39924	3.17491	2.94717
alpha_rarefaction_209_6.txt	209	6	2.77704	2.74016	3.22609	3.2628	3.18588	2.4929
alpha_rarefaction_209_7.txt	209	7	2.71812	2.68232	3.05714	3.31662	3.63319	3.40438
alpha_rarefaction_209_8.txt	209	8	2.53901	2.84061	3.3529	2.94711	2.92393	3.16741
alpha_rarefaction_209_9.txt	209	9	3.1295	2.64982	3.08295	3.17865	3.53184	3.10021
alpha_rarefaction_408_0.txt	408	0	3.42667	2.87806	3.80188	3.2304	3.51685	3.78764
alpha_rarefaction_408_1.txt	408	1	3.48247	2.82956	3.41287	3.409	3.59262	3.61742
alpha_rarefaction_408_2.txt	408	2	3.08773	3.09094	3.63048	3.60813	3.60423	3.42161
