	sequences per sample	iteration	S1	S2	S3	S4	S5	S6
alpha_rarefaction_10_0.txt	10	0	13.0	22.0	13.0	7.0	23.0	8.5
alpha_rarefaction_10_1.txt	10	1	16.0	13.0	23.0	55.0	23.0	6.2
alpha_rarefaction_10_2.txt	10	2	23.0	13.0	55.0	7.0	12.0	8.5
alpha_rarefaction_10_3.txt	10	3	29.0	4.0	23.0	12.0	29.0	16.0
alpha_rarefaction_10_4.txt	10	4	23.0	29.0	13.0	23.0	13.0	23.0
alpha_rarefaction_10_5.txt	10	5	13.0	5.33333333333	23.0	23.0	55.0	22.0
alpha_rarefaction_10_6.txt	10	6	13.0	12.0	13.0	29.0	23.0	13.0
alpha_rarefaction_10_7.txt	10	7	8.5	13.0	23.0	7.0	55.0	13.0
alpha_rarefaction_10_8.txt	10	8	12.0	12.0	4.0	29.0	55.0	13.0
alpha_rarefaction_10_9.txt	10	9	23.0	12.0	13.0	55.0	13.0	23.0
alpha_rarefaction_209_0.txt	209	0	48.75	43.25	41.0	43.875	36.3333333333	42.0
alpha_rarefaction_209_1.txt	209	1	36.5	48.5	56.6	47.0	40.1	32.75
alpha_rarefaction_209_2.txt	209	2	39.6666666667	35.1111111111	50.4285714286	34.2	43.0	39.3333333333
alpha_rarefaction_209_3.txt	209	3	32.1428571429	39.0	43.5	53.0	42.0	33.0
alpha_rarefaction_209_4.txt	209	4	47.1666666667	37.1428571429	44.7692307692	46.4285714286	53.3333333333	60.5
alpha_rarefaction_209_5.txt	209	5	47.0	48.2	59.1428571429	43.5	41.0	33.875
alpha_rarefaction_209_6.txt	209	6	44.0	32.875	72.0	42.1111111111	44.0	27.1111111111
alpha_rarefaction_209_7.txt	209	7	36.0	34.5	39.625	44.3333333333	42.3333333333	39.25
alpha_rarefaction_209_8.txt	209	8	33.5	37.1111111111	45.5	32.5	35.0	50.3333333333
alpha_rarefaction_209_9.txt	209	9	36.25	36.5	43.1428571429	42.1111111111	58.2	47.0
alpha_rarefaction_408_0.txt	408	0	53.0	41.0	54.5	43.25	39.6666666667	45.6666666667
alpha_rarefaction_408_1.txt	408	1	54.0	39.5	44.75	45.5	45.6666666667	46.0
alpha_rarefaction_408_2.txt	408	2	48.0	36.5	44.75	46.2	41.8571428571	45.3333333333
alpha_rarefaction_408_3.txt	408	3	55.0	50.1666666667	59.0	41.625	61.0	48.8571428571
alpha_rarefaction_408_4.txt	408	4	48.875	42.1111111111	46.875	46.2727272727	56.75	50.0
alpha_rarefaction_408_5.txt	408	5	46.0	36.8571428571	58.0	50.0	40.0	41.5
alpha_rarefaction_408_6.txt	408	6	58.3333333333	49.5	48.9090909091	55.0	46.2	40.75
alpha_rarefaction_408_7.txt	408	7	49.0	52.25	51.0	48.875	43.2	42.5
alpha_rarefaction_408_8.txt	408	8	41.5	39.6666666667	48.5	48.0	38.4285714286	37.5
alpha_rarefaction_408_9.txt	408	9	43.6666666667	53.0	51.1428571429	49.4285714286	51.5	43.6
alpha_rarefaction_607_0.txt	607	0	56.25	43.75	48.75	47.0	49.0	46.0
alpha_rarefaction_607_1.txt	607	1	70.4285714286	41.0	50.1428571429	50.5	47.0	45.25
alpha_rarefaction_607_2.txt	607	2	49.5	54.0	46.5	44.875	47.5	40.5
alpha_rarefaction_607_3.txt	607	3	71.75	47.6666666667	51.0	50.0	48.1428571429	60.5
alpha_rarefaction_607_4.txt	607	4	49.0	50.2	51.2	42.4285714286	47.0	63.5
alpha_rarefaction_607_5.txt	607	5	45.5	38.5	56.0	59.0	49.0	50.4285714286
