	sequences per sample	iteration	S1	S2	S3	S4	S5	S6
alpha_rarefaction_10_0.txt	10	0	8.0	7.0	8.0	6.0	9.0	7.0
alpha_rarefaction_10_1.txt	10	1	6.0	8.0	9.0	10.0	9.0	6.0
alpha_rarefaction_10_2.txt	10	2	9.0	8.0	10.0	6.0	7.0	7.0
alpha_rarefaction_10_3.txt	10	3	8.0	4.0	9.0	7.0	8.0	6.0
alpha_rarefaction_10_4.txt	10	4	9.0	8.0	8.0	9.0	8.0	9.0
alpha_rarefaction_10_5.txt	10	5	8.0	5.0	9.0	9.0	10.0	7.0
alpha_rarefaction_10_6.txt	10	6	8.0	7.0	8.0	8.0	9.0	8.0
alpha_rarefaction_10_7.txt	10	7	7.0	8.0	9.0	6.0	10.0	8.0
alpha_rarefaction_10_8.txt	10	8	7.0	7.0	4.0	8.0	10.0	8.0
alpha_rarefaction_10_9.txt	10	9	9.0	7.0	8.0	10.0	8.0	9.0
alpha_rarefaction_209_0.txt	209	0	35.0	35.0	39.0	37.0	36.0	30.0
alpha_rarefaction_209_1.txt	209	1	34.0	32.0	41.0	36.0	38.0	32.0
alpha_rarefaction_209_2.txt	209	2	35.0	32.0	41.0	30.0	37.0	30.0
alpha_rarefaction_209_3.txt	209	3	30.0	34.0	39.0	38.0	36.0	32.0
alpha_rarefaction_209_4.txt	209	4	38.0	32.0	42.0	37.0	35.0	33.0
alpha_rarefaction_209_5.txt	209	5	33.0	35.0	42.0	36.0	34.0	32.0
alpha_rarefaction_209_6.txt	209	6	35.0	31.0	42.0	36.0	35.0	27.0
alpha_rarefaction_209_7.txt	209	7	33.0	31.0	37.0	37.0	40.0	34.0
alpha_rarefaction_209_8.txt	209	8	31.0	34.0	40.0	32.0	32.0	32.0
alpha_rarefaction_209_9.txt	209	9	35.0	33.0	38.0	36.0	40.0	32.0
alpha_rarefaction_408_0.txt	408	0	42.0	38.0	47.0	38.0	38.0	41.0
alpha_rarefaction_408_1.txt	408	1	43.0	37.0	41.0	41.0	41.0	39.0
alpha_rarefaction_408_2.txt	408	2	39.0	35.0	44.0	39.0	41.0	36.0
alpha_rarefaction_408_3.txt	408	3	44.0	41.0	45.0	39.0	40.0	41.0
alpha_rarefaction_408_4.txt	408	4	42.0	39.0	45.0	43.0	43.0	41.0
alpha_rarefaction_408_5.txt	408	5	40.0	36.0	46.0	41.0	38.0	38.0
alpha_rarefaction_408_6.txt	408	6	40.0	42.0	47.0	42.0	42.0	37.0
alpha_rarefaction_408_7.txt	408	7	42.0	41.0	45.0	42.0	42.0	35.0
alpha_rarefaction_408_8.txt	408	8	38.0	38.0	45.0	43.0	38.0	36.0
alpha_rarefaction_408_9.txt	408	9	39.0	38.0	46.0	43.0	44.0	38.0
alpha_rarefaction_607_0.txt	607	0	45.0	40.0	48.0	44.0	46.0	42.0
alpha_rarefaction_607_1.txt	607	1	51.0	40.0	48.0	47.0	44.0	40.0
alpha_rarefaction_607_2.txt	607	2	45.0	42.0	45.0	43.0	45.0	38.0
alpha_rarefaction_607_3.txt	607	3	49.0	43.0	48.0	46.0	46.0	44.0
alpha_rarefaction_607_4.txt	607	4	45.0	43.0	47.0	42.0	45.0	41.0
alpha_rarefaction_607_5.txt	607	5	42.0	37.0	50.0	48.0	46.0	44.0
alpha_rarefaction_607_6.txt	607	6	47.0	44.0	51.0	46.0	46.0	42.0
alpha_rarefaction_607_7.txt	607	7	43.0	42.0	49.0	45.0	44.0	39.0
alpha_rarefaction_607_8.txt	607	8	50.0	41.0	49.0	44.0	44.0	37.0
alpha_rarefaction_607_9.txt	607	9	44.0	40.0	46.0	46.0	42.0	41.0
alpha_rarefaction_806_0.txt	806	0	50.0	41.0	49.0	46.0	49.0	43.0
alpha_rarefaction_806_1.txt	806	1	49.0	44.0	53.0	44.0	49.0	45.0
alpha_rarefaction_806_2.txt	806	2	43.0	43.0	50.0	46.0	45.0	45.0
alpha_rarefaction_806_3.txt	806	3	47.0	41.0	47.0	46.0	46.0	42.0
alpha_rarefaction_806_4.txt	806	4	46.0	42.0	54.0	46.0	48.0	42.0
alpha_rarefaction_806_5.txt	806	5	46.0	40.0	50.0	47.0	46.0	42.0
alpha_rarefaction_806_6.txt	806	6	45.0	43.0	51.0	46.0	48.0	42.0
alpha_rarefaction_806_7.txt	806	7	54.0	42.0	50.0	44.0	48.0	42.0
alpha_rarefaction_806_8.txt	806	8	44.0	46.0	51.0	45.0	46.0	41.0
alpha_rarefaction_806_9.txt	806	9	47.0	43.0	52.0	50.0	47.0	42.0
alpha_rarefaction_1005_0.txt	1005	0	50.0	43.0	50.0	49.0	49.0	47.0
alpha_rarefaction_1005_1.txt	1005	1	52.0	40.0	50.0	48.0	48.0	46.0
alpha_rarefaction_1005_2.txt	1005	2	51.0	42.0	51.0	48.0	45.0	42.0
alpha_rarefaction_1005_3.txt	1005	3	48.0	44.0	52.0	45.0	49.0	45.0
alpha_rarefaction_1005_4.txt	1005	4	51.0	46.0	52.0	50.0	47.0	48.0
alpha_rarefaction_1005_5.txt	1005	5	49.0	47.0	48.0	51.0	49.0	42.0
alpha_rarefaction_1005_6.txt	1005	6	53.0	47.0	52.0	49.0	48.0	42.0
alpha_rarefaction_1005_7.txt	1005	7	49.0	47.0	50.0	48.0	47.0	43.0
alpha_rarefaction_1005_8.txt	1005	8	51.0	48.0	53.0	48.0	47.0	42.0
alpha_rarefaction_1005_9.txt	1005	9	50.0	44.0	50.0	48.0	48.0	44.0
alpha_rarefaction_1204_0.txt	1204	0	56.0	43.0	53.0	50.0	49.0	46.0
alpha_rarefaction_1204_1.txt	1204	1	54.0	46.0	56.0	49.0	50.0	46.0
alpha_rarefaction_1204_2.txt	1204	2	53.0	43.0	53.0	50.0	48.0	48.0
alpha_rarefaction_1204_3.txt	1204	3	51.0	45.0	52.0	48.0	50.0	47.0
alpha_rarefaction_1204_4.txt	1204	4	54.0	45.0	54.0	49.0	48.0	43.0
alpha_rarefaction_1204_5.txt	1204	5	57.0	46.0	55.0	52.0	48.0	48.0
alpha_rarefaction_1204_6.txt	1204	6	52.0	47.0	50.0	51.0	47.0	46.0
alpha_rarefaction_1204_7.txt	1204	7	54.0	45.0	53.0	50.0	49.0	48.0
alpha_rarefaction_1204_8.txt	1204	8	52.0	46.0	54.0	49.0	49.0	47.0
alpha_rarefaction_1204_9.txt	1204	9	50.0	47.0	52.0	47.0	49.0	49.0
alpha_rarefaction_1403_0.txt	1403	0	53.0	47.0	51.0	50.0	48.0	44.0
alpha_rarefaction_1403_1.txt	1403	1	53.0	50.0	50.0	49.0	49.0	48.0
alpha_rarefaction_1403_2.txt	1403	2	54.0	46.0	53.0	51.0	48.0	49.0
alpha_rarefaction_1403_3.txt	1403	3	53.0	50.0	52.0	51.0	48.0	45.0
alpha_rarefaction_1403_4.txt	1403	4	55.0	48.0	51.0	48.0	47.0	45.0
alpha_rarefaction_1403_5.txt	1403	5	55.0	50.0	54.0	50.0	50.0	45.0
alpha_rarefaction_1403_6.txt	1403	6	54.0	48.0	54.0	50.0	49.0	46.0
alpha_rarefaction_1403_7.txt	1403	7	51.0	50.0	52.0	52.0	52.0	47.0
alpha_rarefaction_1403_8.txt	1403	8	53.0	50.0	55.0	52.0	50.0	49.0
alpha_rarefaction_1403_9.txt	1403	9	57.0	49.0	54.0	52.0	48.0	43.0
alpha_rarefaction_1602_0.txt	1602	0	54.0	46.0	57.0	53.0	50.0	44.0
alpha_rarefaction_1602_1.txt	1602	1	54.0	48.0	55.0	50.0	47.0	47.0
alpha_rarefaction_1602_2.txt	1602	2	51.0	48.0	53.0	54.0	51.0	49.0
alpha_rarefaction_1602_3.txt	1602	3	55.0	48.0	52.0	53.0	49.0	46.0
alpha_rarefaction_1602_4.txt	1602	4	57.0	51.0	53.0	52.0	51.0	45.0
alpha_rarefaction_1602_5.txt	1602	5	57.0	50.0	56.0	50.0	48.0	46.0
alpha_rarefaction_1602_6.txt	1602	6	57.0	49.0	55.0	49.0	51.0	49.0
alpha_rarefaction_1602_7.txt	1602	7	55.0	51.0	55.0	52.0	49.0	47.0
alpha_rarefaction_1602_8.txt	1602	8	58.0	47.0	56.0	48.0	52.0	49.0
alpha_rarefaction_1602_9.txt	1602	9	58.0	50.0	56.0	52.0	50.0	47.0
alpha_rarefaction_1801_0.txt	1801	0	58.0	48.0	56.0	52.0	51.0	51.0
alpha_rarefaction_1801_1.txt	1801	1	58.0	49.0	57.0	53.0	48.0	48.0
alpha_rarefaction_1801_2.txt	1801	2	56.0	47.0	55.0	52.0	51.0	48.0
alpha_rarefaction_1801_3.txt	1801	3	59.0	50.0	56.0	51.0	50.0	47.0
alpha_rarefaction_1801_4.txt	1801	4	56.0	49.0	55.0	52.0	50.0	50.0
alpha_rarefaction_1801_5.txt	1801	5	58.0	50.0	53.0	52.0	50.0	49.0
alpha_rarefaction_1801_6.txt	1801	6	58.0	49.0	56.0	52.0	49.0	49.0
alpha_rarefaction_1801_7.txt	1801	7	55.0	49.0	55.0	52.0	51.0	46.0
alpha_rarefaction_1801_8.txt	1801	8	58.0	48.0	54.0	52.0	50.0	48.0
alpha_rarefaction_1801_9.txt	1801	9	56.0	49.0	56.0	51.0	49.0	49.0
alpha_rarefaction_2000_0.txt	2000	0	60.0	50.0	57.0	54.0	50.0	51.0
alpha_rarefaction_2000_1.txt	2000	1	61.0	48.0	55.0	55.0	50.0	49.0
alpha_rarefaction_2000_2.txt	2000	2	53.0	50.0	58.0	53.0	52.0	49.0
alpha_rarefaction_2000_3.txt	2000	3	61.0	50.0	55.0	53.0	52.0	49.0
alpha_rarefaction_2000_4.txt	2000	4	57.0	49.0	56.0	54.0	52.0	46.0
alpha_rarefaction_2000_5.txt	2000	5	57.0	50.0	54.0	53.0	50.0	49.0
alpha_rarefaction_2000_6.txt	2000	6	56.0	50.0	56.0	51.0	49.0	51.0
