candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
OTU_1	460		1929	99.60	460
OTU_2	460		199514	98.90	460
OTU_3	459		184028	91.30	459
OTU_4	460		44489	91.50	460
OTU_5	465		164187	95.10	465
OTU_6	459		182458	95.60	459
OTU_7	460		187452	99.10	460
OTU_8	446		108381	99.30	446
OTU_9	465		130744	98.90	465
OTU_10	465		132422	99.40	465
OTU_11	460		196291	98.70	460
OTU_12	440		68844	93.20	440
OTU_13	443		162576	96.40	443
OTU_14	465		134601	99.60	465
OTU_15	460		190369	93.70	460
OTU_16	460		149504	99.60	460
OTU_17	440		192067	96.60	440
OTU_18	439		162021	97.00	439
OTU_19	460		190369	98.50	460
OTU_20	442		197139	98.60	442
OTU_21	465		21772	98.90	465
OTU_22	441		183988	95.20	441
OTU_23	440		36892	97.70	440
OTU_24	440		181349	99.10	440
OTU_25	460		180277	97.60	460
OTU_26	460		139167	99.30	460
OTU_27	443		162576	98.60	443
OTU_28	466		229371	99.40	466
OTU_29	440		189688	99.30	440
OTU_30	461		137514	95.00	461
OTU_31	464		45363	99.10	464
OTU_32	441		166297	98.90	441
OTU_33	459		38834	99.80	459
OTU_34	442		133650	98.90	442
OTU_35	460		163328	93.90	460
OTU_36	440		30334	94.80	440
OTU_37	440		169013	96.40	440
OTU_38	440		14035	97.50	440
OTU_39	443		131573	99.30	443
OTU_40	440		191612	99.30	440
OTU_41	440		180191	95.70	440
OTU_42	447		15703	89.70	447
OTU_43	456		14103	93.60	456
OTU_44	440		52311	96.40	440
OTU_45	440		177876	95.70	440
OTU_46	443		83226	94.40	443
OTU_47	442		133406	95.20	442
OTU_48	440		199059	98.60	440
OTU_49	440		228860	98.00	440
OTU_50	444		111555	91.90	444
OTU_51	465		197123	99.10	465
OTU_52	444		148781	93.70	444
OTU_53	460		190369	91.50	460
OTU_54	464		230759	99.10	464
OTU_55	460		97151	92.80	460
OTU_56	440		58380	96.10	440
OTU_57	465		31333	97.60	465
OTU_58	443		216356	95.50	443
OTU_59	440		18619	95.50	440
OTU_60	466		145805	91.60	466
OTU_61	443		32020	96.40	443
OTU_62	440		133091	95.20	440
OTU_63	441		110128	98.00	441
OTU_64	440		18619	95.50	440
OTU_65	439		158569	95.20	439
OTU_66	439		94496	94.80	439
OTU_67	443		135807	97.30	443
OTU_68	443		110192	96.80	443
OTU_69	443		135807	97.70	443
OTU_70	442		133406	99.10	442
OTU_71	440		110016	95.50	440
OTU_72	440		227914	99.10	440
OTU_73	443		216356	96.40	443
OTU_74	443		16072	96.80	443
OTU_75	443		36271	92.60	443
OTU_76	440		191612	94.30	440
OTU_77	459		97151	93.00	459
PyNastAligner parameters:
Algorithm:NAST
Application:PyNAST
blast_db:None
min_len:332
min_pct:75.0
pairwise_alignment_method:uclust
template_filepath:/usr/share/qiime/data/core_set_aligned.fasta.imputed
