candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
OTU_1	460		194286	96.50	460
OTU_2	460		4348122	94.10	460
OTU_3	459		161571	89.80	459
OTU_4	460		351478	91.10	460
OTU_5	465		1668820	93.80	465
OTU_6	460		183870	99.10	460
OTU_7	459		178045	93.00	459
OTU_8	446		234298	96.90	446
OTU_9	465		264795	88.80	465
OTU_10	460		529442	93.00	460
OTU_11	465		518033	91.40	465
OTU_12	460		183870	94.30	460
OTU_13	439		289730	97.50	439
OTU_14	440		190084	92.50	440
OTU_15	443		259578	94.10	443
OTU_16	440		216888	95.00	440
OTU_17	442		182420	93.70	442
OTU_18	465		347529	96.30	465
OTU_19	460		182893	94.10	460
OTU_20	460		233435	92.80	460
OTU_21	440		3931706	95.50	440
OTU_22	465		518033	93.80	465
OTU_23	460		355162	93.30	460
OTU_24	466		265524	95.10	466
OTU_25	440		261016	98.90	440
OTU_26	440		216888	95.50	440
OTU_27	443		512191	94.60	443
OTU_28	441		760848	93.90	441
OTU_29	460		183870	96.30	460
OTU_30	461		183870	93.30	461
OTU_31	442		190084	92.80	442
OTU_32	441		271544	95.20	441
OTU_33	460		182893	95.70	460
OTU_34	440		197460	93.90	440
OTU_35	464		4465473	95.30	464
OTU_36	459		182893	94.10	459
OTU_37	440		267411	94.10	440
OTU_38	443		259771	96.40	443
OTU_39	465		264795	99.10	465
OTU_40	456		522863	93.20	456
OTU_41	444		16272	91.00	444
OTU_42	440		190084	93.20	440
OTU_43	460		182893	92.80	460
OTU_44	443		259771	93.90	443
OTU_45	442		3302038	93.20	442
OTU_46	444		16272	91.70	444
OTU_47	442		182420	93.20	442
OTU_48	440		261016	94.80	440
OTU_49	466		305127	89.30	466
OTU_50	440		724147	90.00	440
OTU_51	443		261016	93.90	443
OTU_52	447		735032	85.90	447
OTU_53	440		190084	98.90	440
OTU_54	443		3302038	96.60	443
OTU_55	443		185670	93.00	443
OTU_56	464		300507	87.50	464
OTU_57	440		190084	94.50	440
OTU_58	440		330118	96.10	440
OTU_59	460		182893	92.40	460
OTU_60	465		4358761	88.60	465
OTU_61	440		304308	90.20	440
OTU_62	440		261016	94.30	440
OTU_63	440		724147	89.50	440
OTU_64	443		259771	97.10	443
OTU_65	441		258203	93.70	441
OTU_66	443		263546	96.20	443
OTU_67	440		182630	95.70	440
OTU_68	443		263546	97.30	443
OTU_69	439		294289	93.60	439
OTU_70	440		183107	94.50	440
OTU_71	443		157382	89.80	443
OTU_72	440		289569	95.20	440
OTU_73	443		259771	92.80	443
OTU_74	440		216888	98.90	440
OTU_75	459		182893	91.70	459
OTU_76	439		303574	92.90	439
PyNastAligner parameters:
Algorithm:NAST
Application:PyNAST
blast_db:None
min_len:332
min_pct:75.0
pairwise_alignment_method:uclust
template_filepath:/Users/husenzhang/anaconda3/envs/qiime/lib/python2.7/site-packages/qiime_default_reference/gg_13_8_otus/rep_set_aligned/85_otus.pynast.fasta
